t_s,trial,cell_idx,row,col,target_x,target_y,phase,pred_x,pred_y,err_pt,in_cell,head_yaw_deg,head_pitch_deg,head_roll_deg,head_tx_mm,head_ty_mm,head_tz_mm,eye_cam_x_mm,eye_cam_y_mm,eye_cam_z_mm,pupil_left_px,pupil_right_px,raw_pitch_deg,raw_yaw_deg,raw_pred_x,raw_pred_y,filt_pitch_deg,filt_yaw_deg,filt_pred_x,filt_pred_y,ear,blink_held
0.0703,1,7,2,1,201.00,648.33,dwell,268.49,195.36,457.97,0,-172.904,3.634,-176.317,-11.44,35.66,151.13,-11.37,5.26,175.30,53.225,53.037,-24.9970,7.6655,268.49,195.36,-25.7863,7.3167,,,0.25880,0
0.1805,1,7,2,1,201.00,648.33,dwell,251.84,216.89,434.42,0,-173.308,3.798,-176.069,-7.77,36.49,150.79,-7.69,6.06,174.91,52.747,52.556,-26.0601,8.3859,251.84,216.89,-25.9049,7.7823,,,0.26081,0
0.2924,1,7,2,1,201.00,648.33,dwell,207.56,204.26,444.12,0,-173.838,3.396,-175.910,-5.60,36.99,149.92,-5.34,6.03,173.36,53.481,53.631,-25.9901,7.1480,207.56,204.26,-25.9477,7.4643,,,0.26779,0
0.3959,1,7,2,1,201.00,648.33,dwell,199.33,487.35,160.99,0,-173.862,3.766,-175.959,-5.10,36.93,151.29,-5.35,6.65,175.60,51.422,51.255,-35.2224,8.1831,199.33,487.35,-30.2646,7.7737,,,0.17356,0
0.5640,1,7,2,1,201.00,648.33,dwell,166.69,467.36,184.19,0,-174.487,3.663,-176.181,-5.69,38.40,151.85,-5.60,8.30,176.38,50.116,50.850,-35.2783,6.1793,166.69,467.36,-32.1994,7.2284,,,0.17284,0
0.6763,1,7,2,1,201.00,648.33,dwell,187.68,522.33,126.70,1,-175.076,4.444,-176.333,-2.81,40.76,151.98,-2.52,11.16,177.13,51.820,52.417,-37.6283,8.6937,187.68,522.33,-34.8266,7.8614,,,0.19461,0
0.7922,1,7,2,1,201.00,648.33,dwell,129.70,586.69,94.25,0,-175.380,4.712,-176.565,-2.49,41.97,152.37,-2.47,12.00,177.07,51.066,51.944,-40.1742,6.3716,129.70,586.69,-37.7871,7.1069,,,0.16811,0
0.8933,1,7,2,1,201.00,648.33,dwell,150.12,611.36,62.89,1,-175.446,4.982,-176.608,-3.37,41.65,152.20,-3.35,11.86,177.11,51.281,52.240,-40.7337,7.3019,150.12,611.36,-39.1700,7.1899,,,0.18080,0
0.9978,1,7,2,1,201.00,648.33,dwell,164.51,645.81,36.58,1,-175.234,5.111,-176.726,-4.05,41.75,152.45,-4.45,11.87,177.25,51.936,52.530,-41.6849,7.9593,164.51,645.81,-40.3551,7.5242,,,0.18255,0
1.1741,1,7,2,1,201.00,648.33,capture,169.15,594.76,62.33,1,-175.391,5.190,-177.037,-5.11,41.57,150.75,-5.46,11.54,175.37,51.194,52.135,-40.3141,7.1235,169.15,594.76,-40.3405,7.3919,,,0.16529,0
1.2907,1,7,2,1,201.00,648.33,capture,173.93,602.98,52.82,1,-175.410,5.075,-177.060,-5.65,41.64,151.02,-5.87,11.58,175.61,50.998,51.574,-40.5379,7.2319,173.93,602.98,-40.4428,7.3115,,,0.16578,0
1.3894,1,7,2,1,201.00,648.33,capture,191.75,629.14,21.31,1,-175.185,5.208,-177.110,-5.39,41.07,149.99,-5.95,11.24,174.84,52.466,52.661,-41.0415,8.3300,191.75,629.14,-40.7049,7.7485,,,0.18508,0
1.4901,1,7,2,1,201.00,648.33,capture,173.93,587.54,66.54,1,-175.233,5.374,-177.108,-5.40,40.70,150.66,-5.70,10.98,175.65,50.949,52.209,-39.8385,7.0990,173.93,587.54,-40.3286,7.4688,,,0.15912,0
1.5922,1,7,2,1,201.00,648.33,capture,173.19,572.91,80.38,1,-174.846,5.522,-177.078,-4.97,41.05,152.01,-5.69,11.35,177.02,51.330,52.248,-39.5028,7.0990,173.19,572.91,-39.9679,7.3071,,,0.16554,0
1.7008,1,7,2,1,201.00,648.33,capture,211.98,601.80,47.81,1,-174.964,5.666,-177.039,-5.44,40.88,151.94,-5.71,11.27,177.06,51.416,52.038,-40.0903,9.1833,211.98,601.80,-40.0199,8.1183,,,0.17188,0
1.7955,1,7,2,1,201.00,648.33,capture,184.46,591.00,59.67,1,-174.991,5.681,-177.042,-5.46,41.22,152.08,-5.83,11.50,177.08,50.666,51.140,-40.0343,7.7285,184.46,591.00,-40.0261,7.9489,,,0.16755,0
1.8934,1,7,2,1,201.00,648.33,capture,192.84,582.16,66.68,1,-175.194,5.459,-177.099,-5.47,41.53,151.07,-5.70,11.52,175.73,51.689,51.757,-39.8664,8.0222,192.84,582.16,-39.9572,7.9806,,,0.17169,0
1.9909,1,7,2,1,201.00,648.33,capture,130.48,603.15,83.75,0,-175.594,5.300,-177.089,-5.63,41.54,151.13,-5.49,11.53,175.79,51.420,52.338,-40.7057,5.0567,130.48,603.15,-40.2803,6.6910,,,0.17075,0
