file,run_label,row,col,hit,err_pt,head_tz_mm,head_yaw_deg,head_pitch_deg,n_samples
person-2,Experiment 2 (5×4 images),1,3,1,53.21447641384816,216.9,175.318,9.505,9
person-2,Experiment 2 (5×4 images),2,-1,1,46.49452655958551,218.03,175.705,10.586,7
person-2,Experiment 2 (5×4 images),2,1,1,67.14509438521925,218.9,175.237,10.694,8
person-2,Experiment 2 (5×4 images),2,2,1,60.79800407908144,219.35,175.212,10.941,7
person-2,Experiment 2 (5×4 images),2,3,1,48.74527464277947,220.59,174.966,11.123,10
person-2,Experiment 2 (5×4 images),3,-1,1,73.10651475757818,222.24,176.405,13.458,32
person-2,Experiment 2 (5×4 images),3,1,1,71.07135006456537,221.61,176.03,13.353,9
person-2,Experiment 2 (5×4 images),3,2,1,43.69546658407478,223.11,175.49,12.633,11
person-2,Experiment 2 (5×4 images),3,3,1,52.02562926097092,223.19,174.871,12.606,8
person-2,Experiment 2 (5×4 images),4,-1,1,52.33701653705527,223.2,176.404,14.588,12
person-2,Experiment 2 (5×4 images),4,1,1,13.067187914773442,224.48,176.59,14.943,14
person-2,Experiment 2 (5×4 images),4,2,1,17.452684607245963,224.79,176.001,14.963,17
person-2,Experiment 2 (5×4 images),4,3,1,22.25584417630569,224.34,175.682,15.357,12
person-2,Experiment 3 (5×4 dots),-1,-1,0,91.92636020206609,125.6,-176.693,-2.238,125
person-2,Experiment 3 (5×4 dots),-1,1,1,40.23491270029053,126.29,-177.171,-0.86,55
person-2,Experiment 3 (5×4 dots),-1,2,1,65.58062290036592,126.31,-177.628,-1.337,24
person-2,Experiment 3 (5×4 dots),-1,3,1,66.9389759407776,127.22,-177.453,-0.437,35
person-2,Experiment 3 (5×4 dots),1,-1,0,164.93394101882123,130.28,-175.903,2.53,119
person-2,Experiment 3 (5×4 dots),1,1,1,47.41162093833115,129.65,-176.155,1.707,100
person-2,Experiment 3 (5×4 dots),1,2,1,37.69090208525127,130.41,-176.158,2.504,44
person-2,Experiment 3 (5×4 dots),1,3,1,65.1958779371825,130.89,-176.103,3.326,48
person-2,Experiment 3 (5×4 dots),2,-1,0,85.68528111642044,133.29,-175.198,4.2,106
person-2,Experiment 3 (5×4 dots),2,1,1,6.28243583333724,133.06,-175.857,5.34,97
person-2,Experiment 3 (5×4 dots),2,2,1,47.592454233838374,134.12,-175.86,6.367,48
person-2,Experiment 3 (5×4 dots),2,3,1,56.126069700273845,133.29,-176.177,6.508,18
person-2,Experiment 3 (5×4 dots),3,-1,0,108.67133752742717,134.86,-175.091,7.558,106
person-2,Experiment 3 (5×4 dots),3,1,0,61.288035537125815,135.12,-174.959,8.625,106
person-2,Experiment 3 (5×4 dots),3,2,0,36.971656711594605,135.85,-173.765,8.812,105
person-2,Experiment 3 (5×4 dots),3,3,1,44.17487068458718,135.49,-174.22,9.002,52
person-2,Experiment 3 (5×4 dots),4,-1,1,41.96036224819804,135.65,-174.351,9.816,65
person-2,Experiment 3 (5×4 dots),4,1,1,38.235466519973336,136.5,-173.95,9.777,49
person-2,Experiment 3 (5×4 dots),4,2,1,43.147769351381335,135.42,-174.213,9.639,16
person-2,Experiment 3 (5×4 dots),4,3,1,45.08310215590765,135.98,-174.088,9.187,94
person-2,Experiment 3 (5×4 dots),1,1,1,12.75053332217913,250.68,176.056,12.373,26
person-2,Experiment 3 (5×4 dots),2,3,1,13.249184880587906,250.7,176.858,12.926,15
person-2,Experiment 3 (5×4 dots),-1,1,1,20.668763872084845,251.94,177.336,11.793,18
person-2,Experiment 3 (5×4 dots),2,2,1,34.797724063507374,252.3,178.037,14.06,39
person-2,Experiment 3 (5×4 dots),-1,-1,1,48.06663083678739,252.71,177.134,13.269,61
person-2,Experiment 3 (5×4 dots),4,1,1,54.97657046415321,253.49,177.167,14.038,40
person-2,Experiment 3 (5×4 dots),4,2,1,63.73614751457772,253.42,177.159,14.981,22
