t_s,trial,cell_idx,row,col,target_x,target_y,phase,pred_x,pred_y,err_pt,in_cell,head_yaw_deg,head_pitch_deg,head_roll_deg,head_tx_mm,head_ty_mm,head_tz_mm,eye_cam_x_mm,eye_cam_y_mm,eye_cam_z_mm,pupil_left_px,pupil_right_px,raw_pitch_deg,raw_yaw_deg,raw_pred_x,raw_pred_y,filt_pitch_deg,filt_yaw_deg,filt_pred_x,filt_pred_y,ear,blink_held
0.0561,1,29,3,2,111.67,302.56,dwell,253.02,565.23,298.29,0,179.112,7.952,179.954,-18.52,20.19,148.42,-17.79,-8.48,174.66,54.390,53.115,-32.1073,-1.3641,253.02,565.23,-32.1073,-1.3641,,,0.22195,0
0.1381,1,29,3,2,111.67,302.56,dwell,210.44,239.74,117.06,0,179.068,7.847,179.918,-18.64,20.20,148.57,-18.39,-8.69,175.54,54.024,53.639,-19.3199,-2.9399,210.44,239.74,-26.3530,-2.0732,,,0.20478,0
0.2413,1,29,3,2,111.67,302.56,dwell,65.24,218.41,96.10,0,179.031,7.843,179.879,-18.61,20.33,148.46,-18.20,-7.76,175.28,53.830,54.111,-18.3648,-10.2758,65.24,218.41,-22.7583,-5.7644,,,0.20439,0
0.3503,1,29,3,2,111.67,302.56,dwell,254.87,264.79,148.10,0,179.022,7.919,179.881,-18.71,20.54,148.59,-18.69,-8.09,175.74,53.681,54.136,-20.6366,-1.0983,254.87,264.79,-21.8035,-3.6647,,,0.21004,0
0.4683,1,29,3,2,111.67,302.56,dwell,110.60,290.23,12.37,1,178.947,8.044,179.864,-18.59,20.68,148.68,-18.09,-7.60,175.19,53.805,54.298,-21.0163,-7.4082,110.60,290.23,-21.4493,-5.3493,,,0.22015,0
0.5540,1,29,3,2,111.67,302.56,dwell,118.79,188.03,114.75,0,178.980,8.158,179.890,-18.49,20.78,148.58,-18.12,-7.39,174.74,53.735,54.157,-17.3230,-7.3023,118.79,188.03,-19.5925,-6.2281,,,0.20874,0
0.6437,1,29,3,2,111.67,302.56,dwell,158.94,267.12,59.08,0,179.053,8.291,179.865,-18.39,20.57,148.51,-18.04,-7.57,174.77,53.988,54.328,-19.3886,-5.6588,158.94,267.12,-19.5007,-5.9720,,,0.21057,0
0.7396,1,29,3,2,111.67,302.56,dwell,166.21,256.75,71.23,0,179.050,8.231,179.848,-18.34,20.63,148.41,-17.67,-7.69,174.96,54.022,54.210,-20.6949,-4.8408,166.21,256.75,-20.0381,-5.4629,,,0.23040,0
0.8469,1,29,3,2,111.67,302.56,dwell,205.23,169.94,162.30,0,179.094,8.092,179.867,-18.41,20.84,148.35,-17.76,-7.62,175.09,53.772,54.236,-17.0864,-4.0194,205.23,169.94,-18.7099,-4.8133,,,0.22681,0
0.9541,1,29,3,2,111.67,302.56,dwell,171.16,168.02,147.10,0,178.991,8.024,179.861,-18.59,20.76,148.14,-18.31,-8.38,174.74,53.577,54.472,-16.4867,-5.3952,171.16,168.02,-17.7094,-5.0752,,,0.22011,0
1.0621,1,29,3,2,111.67,302.56,dwell,191.93,131.61,188.85,0,178.916,8.066,179.866,-18.60,20.68,147.95,-17.44,-8.44,174.12,53.551,54.038,-14.9720,-4.4030,191.93,131.61,-16.4776,-4.7727,,,0.22245,0
1.1621,1,29,3,2,111.67,302.56,capture,164.19,140.25,170.59,0,178.970,8.145,179.865,-18.50,20.56,147.88,-17.42,-8.07,174.45,53.837,54.264,-15.8454,-4.9673,164.19,140.25,-16.1931,-4.8603,,,0.20180,0
1.2638,1,29,3,2,111.67,302.56,capture,174.49,130.97,182.72,0,178.872,8.120,179.858,-18.44,20.59,147.74,-18.21,-8.11,173.69,53.492,54.306,-15.0445,-4.8280,174.49,130.97,-15.6762,-4.8457,,,0.19878,0
1.3554,1,29,3,2,111.67,302.56,capture,157.66,154.61,154.93,0,179.009,8.171,179.848,-18.41,20.72,147.74,-17.44,-6.79,173.95,53.241,54.399,-16.2383,-5.5054,157.66,154.61,-15.9292,-5.1426,,,0.20068,0
1.4618,1,29,3,2,111.67,302.56,capture,158.60,160.27,149.83,0,178.993,8.070,179.838,-18.57,20.78,147.62,-17.96,-7.82,174.25,53.497,53.772,-16.7658,-4.8072,158.60,160.27,-16.3056,-4.9917,,,0.18666,0
1.5639,1,29,3,2,111.67,302.56,capture,169.74,135.89,176.49,0,179.043,8.009,179.842,-18.53,20.84,147.83,-17.77,-7.06,174.19,53.339,53.896,-14.7015,-5.4182,169.74,135.89,-15.5838,-5.1836,,,0.19617,0
1.6487,1,29,3,2,111.67,302.56,capture,155.19,136.78,171.39,0,179.041,7.968,179.842,-18.56,20.89,147.67,-17.89,-8.26,173.67,53.154,54.360,-14.8789,-5.7081,155.19,136.78,-15.2666,-5.4196,,,0.18880,0
1.7456,1,29,3,2,111.67,302.56,capture,177.25,147.10,168.72,0,178.791,8.012,179.859,-18.58,20.89,147.70,-17.80,-8.12,173.99,53.050,54.299,-15.5865,-4.2420,177.25,147.10,-15.4106,-4.8897,,,0.18098,0
1.8366,1,29,3,2,111.67,302.56,capture,180.13,124.10,191.14,0,178.807,8.038,179.861,-18.78,20.74,147.84,-18.48,-7.01,173.64,53.332,54.482,-15.4160,-4.9843,180.13,124.10,-15.4130,-4.9323,,,0.18786,0
1.9348,1,29,3,2,111.67,302.56,capture,166.63,134.28,177.02,0,178.820,8.077,179.815,-18.68,20.56,147.95,-18.38,-8.28,174.35,53.803,54.480,-14.8971,-5.3075,166.63,134.28,-15.1808,-5.1011,,,0.19710,0
2.0305,1,29,3,2,111.67,302.56,capture,176.60,147.70,167.92,0,178.783,8.086,179.811,-18.57,20.56,147.94,-18.05,-7.78,174.17,53.608,54.278,-14.8898,-4.4950,176.60,147.70,-15.0499,-4.8284,,,0.21667,0
2.1356,1,29,3,2,111.67,302.56,capture,182.32,144.47,173.16,0,178.743,8.116,179.812,-18.48,20.45,147.91,-17.74,-8.16,174.58,53.542,54.609,-16.1805,-4.0798,182.32,144.47,-15.5586,-4.4915,,,0.20034,0
2.2322,1,29,3,2,111.67,302.56,capture,180.59,127.59,188.05,0,178.744,7.994,179.806,-18.41,20.53,147.85,-18.00,-8.37,174.15,53.421,54.303,-14.3052,-4.7690,180.59,127.59,-14.9946,-4.6164,,,0.20188,0
2.3199,1,29,3,2,111.67,302.56,capture,165.87,155.28,156.93,0,178.751,7.891,179.809,-18.36,20.59,147.72,-17.44,-8.19,174.01,53.428,54.273,-15.2334,-5.0660,165.87,155.28,-15.1021,-4.8187,,,0.20362,0
2.4340,1,29,3,2,111.67,302.56,capture,172.23,136.41,176.84,0,178.808,7.842,179.818,-18.35,20.52,147.77,-17.18,-8.36,174.40,53.330,54.427,-15.8052,-4.9298,172.23,136.41,-15.4185,-4.8687,,,0.20336,0
2.5446,1,29,3,2,111.67,302.56,capture,188.91,160.97,161.29,0,178.770,7.874,179.826,-18.34,20.61,147.67,-18.06,-7.82,173.64,53.193,54.320,-16.6380,-4.0904,188.91,160.97,-15.9673,-4.5184,,,0.18234,0
2.6530,1,29,3,2,111.67,302.56,capture,190.82,157.04,165.65,0,178.766,7.919,179.810,-18.39,20.68,147.51,-17.90,-7.73,173.78,53.383,54.071,-16.4337,-3.7814,190.82,157.04,-16.1771,-4.1868,,,0.17672,0
2.7515,1,29,3,2,111.67,302.56,capture,205.37,149.41,179.54,0,178.812,7.943,179.789,-18.32,20.88,147.55,-18.44,-8.16,174.25,53.273,54.279,-15.0469,-3.0111,205.37,149.41,-15.6685,-3.6577,,,0.19618,0
2.8414,1,29,3,2,111.67,302.56,capture,139.48,175.41,130.15,0,178.831,7.729,179.782,-18.31,20.84,147.16,-18.16,-7.34,173.59,53.214,54.289,-16.8880,-6.3112,139.48,175.41,-16.2173,-4.8518,,,0.19755,0
2.9546,1,29,3,2,111.67,302.56,capture,159.26,125.46,183.38,0,178.802,7.981,179.764,-18.31,20.75,147.10,-17.80,-7.91,173.58,53.145,54.079,-14.9360,-5.7100,159.26,125.46,-15.6407,-5.2380,,,0.21475,0
3.1755,2,65,7,2,111.67,648.33,dwell,194.96,370.67,289.89,0,178.834,7.909,179.764,-18.21,20.69,147.01,-17.91,-8.19,173.16,53.278,54.159,-23.4068,-3.2803,194.96,370.67,-23.4068,-3.2803,,,0.17405,0
3.3011,2,65,7,2,111.67,648.33,dwell,171.37,344.86,309.29,0,178.899,8.015,179.775,-18.31,20.68,147.07,-18.04,-7.16,172.99,53.184,54.209,-22.7464,-4.4619,171.37,344.86,-23.1096,-3.8120,,,0.17932,0
3.3969,2,65,7,2,111.67,648.33,dwell,165.76,405.32,248.96,0,178.847,8.005,179.765,-18.27,20.87,147.27,-17.35,-7.33,173.53,53.755,54.011,-26.0862,-4.7380,165.76,405.32,-24.4491,-4.2287,,,0.20387,0
3.4953,2,65,7,2,111.67,648.33,dwell,122.58,500.53,148.21,0,178.797,8.071,179.745,-18.20,20.76,147.26,-18.28,-7.96,173.30,54.094,54.651,-28.8787,-7.0118,122.58,500.53,-26.4424,-5.4811,,,0.19435,0
3.5899,2,65,7,2,111.67,648.33,dwell,151.95,514.44,139.82,0,178.909,8.184,179.778,-18.21,20.78,147.42,-18.00,-7.35,173.64,54.208,54.248,-29.9171,-5.9408,151.95,514.44,-28.0060,-5.6879,,,0.20729,0
3.6861,2,65,7,2,111.67,648.33,dwell,95.94,546.70,102.84,0,178.978,8.097,179.796,-18.24,20.79,147.50,-17.90,-7.88,173.92,53.758,54.520,-31.7700,-7.7254,95.94,546.70,-29.6998,-6.6048,,,0.19976,0
3.7681,2,65,7,2,111.67,648.33,dwell,88.66,636.89,25.70,0,178.885,8.251,179.802,-18.29,20.53,147.19,-17.92,-8.48,173.63,53.872,54.414,-34.3676,-8.8031,88.66,636.89,-31.8003,-7.5940,,,0.23001,0
3.8501,2,65,7,2,111.67,648.33,dwell,141.29,672.06,37.95,0,178.909,8.138,179.841,-18.41,20.52,147.45,-17.63,-7.69,173.55,53.509,54.520,-35.8125,-6.2449,141.29,672.06,-33.6058,-6.9870,,,0.20329,0
3.9547,2,65,7,2,111.67,648.33,dwell,146.31,745.42,103.08,0,178.915,8.205,179.839,-18.46,20.46,147.55,-18.35,-7.25,174.28,53.289,54.677,-38.7837,-6.3699,146.31,745.42,-35.9359,-6.7093,,,0.18488,0
4.0539,2,65,7,2,111.67,648.33,capture,117.10,789.04,140.81,0,178.829,8.086,179.805,-18.43,20.53,147.04,-17.56,-7.82,173.53,53.321,54.269,-40.6090,-7.4062,117.10,789.04,-38.0388,-7.0229,,,0.17547,0
