t_s,trial,cell_idx,row,col,target_x,target_y,phase,pred_x,pred_y,err_pt,in_cell,head_yaw_deg,head_pitch_deg,head_roll_deg,head_tx_mm,head_ty_mm,head_tz_mm,eye_cam_x_mm,eye_cam_y_mm,eye_cam_z_mm,pupil_left_px,pupil_right_px,raw_pitch_deg,raw_yaw_deg,raw_pred_x,raw_pred_y,filt_pitch_deg,filt_yaw_deg,filt_pred_x,filt_pred_y,ear,blink_held
0.0222,1,7,2,1,201.00,648.33,dwell,211.63,412.48,236.09,0,179.209,6.813,-179.897,-12.23,25.15,146.06,-12.13,-4.62,171.02,55.453,55.562,-27.4665,-2.8329,211.63,412.48,-27.4665,-2.8329,,,0.24017,0
0.1238,1,7,2,1,201.00,648.33,dwell,215.71,432.54,216.29,0,179.430,6.778,-179.885,-12.28,25.14,146.18,-12.23,-4.51,171.33,55.248,55.424,-28.4506,-1.9552,215.71,432.54,-28.0735,-2.3038,,,0.26228,0
0.2213,1,7,2,1,201.00,648.33,dwell,199.37,438.01,210.33,0,178.739,6.725,179.577,-12.33,25.17,146.78,-12.50,-4.50,171.89,54.758,55.344,-27.6781,-2.5419,199.37,438.01,-27.8855,-2.4219,,,0.25170,0
0.3219,1,7,2,1,201.00,648.33,dwell,201.04,408.16,240.17,0,178.886,6.771,179.502,-12.47,25.16,146.60,-12.44,-4.52,171.72,55.421,55.810,-28.0657,-2.4017,201.04,408.16,-27.9765,-2.4121,,,0.25942,0
0.4216,1,7,2,1,201.00,648.33,dwell,208.34,451.65,196.82,0,178.699,6.861,179.909,-12.38,25.19,146.26,-12.42,-4.47,171.36,54.206,55.198,-28.4988,-0.9746,208.34,451.65,-28.2769,-1.4420,,,0.23883,0
0.5237,1,7,2,1,201.00,648.33,dwell,211.03,441.67,206.90,0,179.258,6.889,179.329,-12.40,25.23,146.48,-12.43,-4.66,171.70,54.242,56.225,-28.4275,-2.3387,211.03,441.67,-28.3613,-1.8474,,,0.25099,0
0.6249,1,7,2,1,201.00,648.33,dwell,190.98,455.71,192.88,0,179.268,6.770,179.088,-12.49,25.25,146.49,-12.52,-4.32,171.54,55.490,55.811,-29.0864,-3.3825,190.98,455.71,-28.8167,-2.8778,,,0.24225,0
0.7253,1,7,2,1,201.00,648.33,dwell,201.25,450.08,198.26,0,179.405,6.668,179.707,-12.52,25.21,146.45,-12.60,-4.60,171.66,54.538,55.708,-28.7674,-2.1591,201.25,450.08,-28.7891,-2.5327,,,0.25985,0
0.8248,1,7,2,1,201.00,648.33,dwell,205.60,467.46,180.93,0,178.924,6.615,179.764,-12.49,25.16,146.34,-12.51,-4.51,171.32,55.001,55.408,-29.4328,-2.1854,205.60,467.46,-29.1864,-2.3642,,,0.24747,0
0.9277,1,7,2,1,201.00,648.33,dwell,170.96,485.32,165.76,0,179.053,6.578,179.477,-12.47,25.22,146.02,-12.44,-4.48,171.00,54.542,56.198,-29.6930,-3.7468,170.96,485.32,-29.5091,-3.2615,,,0.24273,0
1.0276,1,7,2,1,201.00,648.33,capture,178.93,506.75,143.29,0,179.079,6.691,179.578,-12.56,25.26,145.93,-12.61,-4.23,171.11,54.656,55.956,-31.0973,-3.2540,178.93,506.75,-30.6662,-3.2571,,,0.24822,0
1.1270,1,7,2,1,201.00,648.33,capture,206.88,499.11,149.34,0,179.641,6.768,179.079,-12.42,25.30,146.43,-12.55,-4.42,171.75,55.495,55.227,-29.7475,-1.7275,206.88,499.11,-30.1738,-2.3037,,,0.25743,0
1.2299,1,7,2,1,201.00,648.33,capture,190.36,506.50,142.23,0,179.103,6.872,179.818,-12.39,25.28,146.43,-12.42,-4.38,171.62,55.245,55.569,-30.6918,-3.3009,190.36,506.50,-30.4828,-2.8187,,,0.24768,0
1.3304,1,7,2,1,201.00,648.33,capture,178.63,494.44,155.51,0,178.968,7.013,179.090,-12.30,25.31,146.38,-12.28,-4.29,171.34,54.335,55.613,-30.3498,-3.2150,178.63,494.44,-30.4142,-3.0404,,,0.25766,0
1.4301,1,7,2,1,201.00,648.33,capture,170.05,508.97,142.76,0,178.872,7.046,179.654,-12.17,25.28,146.63,-12.23,-4.57,171.67,56.136,55.130,-30.8712,-4.7288,170.05,508.97,-30.6747,-4.2456,,,0.23870,0
1.5296,1,7,2,1,201.00,648.33,capture,193.41,477.31,171.20,0,178.872,7.030,179.733,-12.18,25.22,146.72,-12.24,-4.42,171.74,55.244,54.760,-30.8801,-2.4053,193.41,477.31,-30.7899,-3.2280,,,0.23348,0
1.6320,1,7,2,1,201.00,648.33,capture,181.55,463.19,186.16,0,179.149,7.095,179.906,-12.29,25.17,146.33,-12.33,-4.72,171.41,54.730,56.013,-28.3449,-3.6181,181.55,463.19,-29.0342,-3.4017,,,0.23210,0
1.7340,1,7,2,1,201.00,648.33,capture,179.69,501.47,148.40,0,178.864,7.248,-179.703,-12.35,25.13,146.44,-12.33,-4.56,171.53,54.516,56.086,-30.6570,-4.3908,179.69,501.47,-29.8788,-4.0158,,,0.24057,0
