t_s,trial,cell_idx,row,col,target_x,target_y,phase,pred_x,pred_y,err_pt,in_cell,head_yaw_deg,head_pitch_deg,head_roll_deg,head_tx_mm,head_ty_mm,head_tz_mm,eye_cam_x_mm,eye_cam_y_mm,eye_cam_z_mm,pupil_left_px,pupil_right_px,raw_pitch_deg,raw_yaw_deg,raw_pred_x,raw_pred_y,filt_pitch_deg,filt_yaw_deg,filt_pred_x,filt_pred_y,ear,blink_held
0.0577,1,36,4,0,22.33,389.00,dwell,223.05,404.20,201.29,0,179.627,7.848,179.815,-18.58,22.24,148.80,-18.65,-6.45,175.46,53.844,53.341,-25.3926,-2.5583,223.05,404.20,-25.3926,-2.5583,,,0.21519,0
0.1509,1,36,4,0,22.33,389.00,dwell,98.33,395.76,76.30,0,179.526,7.792,179.808,-18.50,21.95,148.72,-17.76,-7.33,175.95,53.778,53.378,-24.9318,-8.1011,98.33,395.76,-25.1852,-5.0526,,,0.21690,0
0.2574,1,36,4,0,22.33,389.00,dwell,72.48,431.69,65.86,0,179.489,7.794,179.801,-18.51,22.01,148.38,-17.63,-5.95,174.99,53.771,53.779,-26.5045,-10.4921,72.48,431.69,-25.7789,-7.5003,,,0.21715,0
0.3549,1,36,4,0,22.33,389.00,dwell,121.05,344.28,108.37,0,179.300,7.717,179.844,-18.54,21.85,147.98,-18.57,-6.54,174.38,54.040,54.439,-22.6811,-6.9282,121.05,344.28,-24.3849,-7.2429,,,0.21253,0
0.4720,1,36,4,0,22.33,389.00,dwell,80.90,355.86,67.29,0,179.155,7.774,179.837,-18.34,21.76,148.11,-18.06,-7.09,174.25,53.442,54.313,-23.0619,-8.5139,80.90,355.86,-23.7895,-7.8148,,,0.22343,0
0.5783,1,36,4,0,22.33,389.00,dwell,63.81,312.18,87.30,0,179.050,7.759,179.827,-18.32,21.86,147.97,-17.61,-7.65,174.26,53.052,54.577,-22.3022,-9.5143,63.81,312.18,-23.1202,-8.5796,,,0.17889,0
0.6603,1,36,4,0,22.33,389.00,dwell,23.73,368.94,20.11,1,179.000,7.660,179.835,-18.42,21.80,148.12,-17.67,-7.03,174.42,53.164,54.409,-24.9462,-11.4412,23.73,368.94,-23.9419,-9.8673,,,0.18176,0
0.7679,1,36,4,0,22.33,389.00,dwell,39.63,315.35,75.65,0,179.056,7.547,179.850,-18.46,21.65,148.14,-17.42,-6.62,174.54,53.343,54.221,-22.2006,-10.7584,39.63,315.35,-23.1583,-10.2683,,,0.19813,0
0.8575,1,36,4,0,22.33,389.00,dwell,1.64,377.97,23.45,1,178.999,7.726,179.848,-18.50,21.34,147.84,-17.66,-6.85,174.18,53.480,54.194,-24.5261,-13.0098,1.64,377.97,-23.7738,-11.5020,,,0.19752,0
0.9489,1,36,4,0,22.33,389.00,dwell,-16.09,362.49,46.68,0,179.010,7.821,179.836,-18.42,21.29,147.35,-18.19,-7.02,174.00,53.001,53.980,-23.4163,-13.4712,-16.09,362.49,-23.6129,-12.3881,,,0.20615,0
1.0589,1,36,4,0,22.33,389.00,capture,-21.20,362.00,51.23,0,178.994,7.770,179.829,-18.55,21.12,147.33,-18.27,-7.77,173.04,52.947,54.287,-23.8129,-14.0618,-21.20,362.00,-23.7029,-13.1413,,,0.18930,0
1.1566,1,36,4,0,22.33,389.00,capture,-12.81,329.32,69.26,0,178.855,7.867,179.795,-18.47,21.18,146.99,-18.06,-8.09,173.22,52.827,54.160,-22.0549,-13.5827,-12.81,329.32,-22.9613,-13.3399,,,0.16925,0
1.2665,1,36,4,0,22.33,389.00,capture,-29.70,335.99,74.28,0,178.942,7.806,179.775,-18.48,20.99,147.02,-17.82,-7.65,172.85,53.145,54.268,-21.6516,-14.2311,-29.70,335.99,-22.3719,-13.7410,,,0.20076,0
1.3582,1,36,4,0,22.33,389.00,capture,-32.98,355.11,64.87,0,178.984,7.765,179.737,-18.37,20.85,147.13,-17.53,-8.08,173.43,53.126,54.631,-23.6443,-13.9325,-32.98,355.11,-22.9445,-13.8272,,,0.18725,0
1.4595,1,36,4,0,22.33,389.00,capture,4.64,343.32,48.99,0,178.992,7.712,179.756,-18.40,20.89,147.15,-18.22,-7.62,173.66,53.469,54.535,-23.9549,-12.6108,4.64,343.32,-23.3992,-13.2798,,,0.19854,0
1.5597,1,36,4,0,22.33,389.00,capture,-2.95,340.66,54.55,0,179.002,7.786,179.769,-18.39,20.98,147.27,-18.04,-7.59,173.39,53.539,54.215,-24.2933,-12.7096,-2.95,340.66,-23.8015,-13.0232,,,0.22766,0
1.6626,1,36,4,0,22.33,389.00,capture,-28.73,345.67,66.97,0,179.051,7.890,179.797,-18.44,21.12,147.10,-17.95,-8.02,173.45,53.559,54.102,-22.6780,-14.5786,-28.73,345.67,-23.2960,-13.7231,,,0.22263,0
1.7660,1,36,4,0,22.33,389.00,capture,-23.93,354.28,57.84,0,179.104,7.806,179.772,-18.50,21.08,147.22,-17.83,-6.64,173.32,53.702,54.199,-23.2041,-13.5486,-23.93,354.28,-23.2546,-13.6446,,,0.21539,0
1.8830,1,36,4,0,22.33,389.00,capture,-2.26,340.53,54.35,0,178.891,7.898,179.772,-18.52,20.97,147.33,-18.03,-7.69,173.48,53.249,54.247,-22.6266,-13.1683,-2.26,340.53,-22.9720,-13.4303,,,0.20830,0
1.9821,1,36,4,0,22.33,389.00,capture,-36.18,365.53,63.04,0,178.921,8.110,179.774,-18.54,20.95,147.20,-17.83,-7.31,173.25,53.608,54.573,-24.2211,-14.9661,-36.18,365.53,-23.5341,-14.1214,,,0.21034,0
2.0756,1,36,4,0,22.33,389.00,capture,-9.69,357.14,45.17,0,178.923,8.125,179.790,-18.56,21.08,147.20,-17.84,-7.37,173.61,53.471,54.235,-22.9742,-12.7246,-9.69,357.14,-23.2821,-13.4928,,,0.19705,0
2.1709,1,36,4,0,22.33,389.00,capture,-19.91,359.55,51.50,0,178.888,8.018,179.787,-18.57,20.97,147.16,-18.40,-7.83,173.15,53.457,54.203,-24.6087,-14.6367,-19.91,359.55,-23.8791,-14.0076,,,0.21194,0
2.2758,1,36,4,0,22.33,389.00,capture,-31.39,361.29,60.45,0,178.841,8.019,179.823,-18.58,21.07,147.29,-17.85,-7.74,173.42,53.583,54.514,-23.8458,-14.0849,-31.39,361.29,-23.8641,-14.0424,,,0.22845,0
2.3762,1,36,4,0,22.33,389.00,capture,-9.32,348.63,51.30,0,178.843,8.057,179.849,-18.54,20.87,147.35,-17.52,-8.64,173.37,53.747,54.192,-23.7463,-13.3855,-9.32,348.63,-23.8111,-13.7468,,,0.20734,0
2.4967,1,36,4,0,22.33,389.00,capture,-26.73,359.87,57.06,0,178.815,8.018,179.821,-18.51,20.81,147.36,-18.14,-7.26,173.20,53.653,54.340,-23.5982,-13.9000,-26.73,359.87,-23.7153,-13.8157,,,0.20417,0
2.6166,1,36,4,0,22.33,389.00,capture,-0.26,350.25,44.86,0,178.958,8.152,179.875,-18.56,20.74,147.41,-18.29,-8.24,173.62,53.948,54.437,-23.8425,-12.7712,-0.26,350.25,-23.7726,-13.3457,,,0.23367,0
2.7216,1,36,4,0,22.33,389.00,capture,-5.61,358.26,41.54,0,178.947,8.158,179.883,-18.48,20.70,147.64,-18.28,-8.36,173.86,53.633,54.038,-23.7815,-13.4242,-5.61,358.26,-23.7766,-13.3810,,,0.19521,0
2.8148,1,36,4,0,22.33,389.00,capture,-28.41,332.45,75.98,0,178.864,7.893,179.883,-18.52,20.75,147.70,-18.20,-7.92,173.88,53.720,54.194,-23.9138,-14.2201,-28.41,332.45,-23.8383,-13.7586,,,0.23723,0
2.9196,1,36,4,0,22.33,389.00,capture,-30.30,363.24,58.60,0,178.822,7.852,179.848,-18.43,20.64,147.86,-17.80,-7.94,174.17,53.760,54.667,-23.9481,-13.8179,-30.30,363.24,-23.8877,-13.7853,,,0.19547,0
3.0382,1,36,4,0,22.33,389.00,capture,-12.09,354.90,48.45,0,178.731,7.860,179.823,-18.40,20.69,147.69,-18.56,-8.43,174.42,53.836,54.646,-23.6970,-13.5462,-12.09,354.90,-23.8019,-13.6777,,,0.23168,0
3.2720,2,15,1,6,290.33,129.67,dwell,25.58,139.23,264.93,0,178.740,7.791,179.860,-18.32,20.71,147.74,-17.38,-7.62,174.08,53.812,54.560,-13.9478,-11.0836,25.58,139.23,-13.9478,-11.0836,,,0.21660,0
3.3700,2,15,1,6,290.33,129.67,dwell,-11.01,141.61,301.58,0,178.796,7.637,179.884,-18.33,20.51,147.64,-18.19,-8.49,173.19,53.847,54.334,-14.3333,-13.4942,-11.01,141.61,-14.1213,-12.1684,,,0.21903,0
3.4942,2,15,1,6,290.33,129.67,dwell,91.22,164.14,202.08,0,178.772,7.508,179.877,-18.30,20.60,147.63,-18.05,-7.93,173.93,53.697,54.388,-15.6672,-9.1980,91.22,164.14,-14.8170,-10.8317,,,0.23676,0
3.5779,2,15,1,6,290.33,129.67,dwell,72.49,139.77,218.08,0,178.855,7.444,179.874,-18.32,20.64,147.48,-17.90,-8.72,173.89,53.781,54.259,-15.2960,-9.5516,72.49,139.77,-15.0326,-10.2556,,,0.20679,0
3.6750,2,15,1,6,290.33,129.67,dwell,172.15,106.82,120.37,0,178.824,7.560,179.864,-18.46,20.73,147.57,-18.34,-8.37,173.81,53.928,53.963,-14.5130,-4.9264,172.15,106.82,-14.7988,-7.8575,,,0.19823,0
3.7686,2,15,1,6,290.33,129.67,dwell,175.92,53.42,137.49,0,178.758,7.434,179.869,-18.45,20.82,147.83,-17.74,-7.64,174.32,54.043,54.047,-12.7331,-4.7968,175.92,53.42,-13.8692,-6.4802,,,0.22376,0
3.8548,2,15,1,6,290.33,129.67,dwell,124.55,-9.71,216.59,0,178.750,7.591,179.869,-18.49,20.95,147.64,-18.18,-7.18,173.64,53.577,54.208,-10.1595,-7.3360,124.55,-9.71,-12.1998,-6.8653,,,0.21562,0
