t_s,trial,cell_idx,row,col,target_x,target_y,phase,pred_x,pred_y,err_pt,in_cell,head_yaw_deg,head_pitch_deg,head_roll_deg,head_tx_mm,head_ty_mm,head_tz_mm,eye_cam_x_mm,eye_cam_y_mm,eye_cam_z_mm,pupil_left_px,pupil_right_px,raw_pitch_deg,raw_yaw_deg,raw_pred_x,raw_pred_y,filt_pitch_deg,filt_yaw_deg,filt_pred_x,filt_pred_y,ear,blink_held
0.0778,1,14,3,2,251.25,680.75,dwell,126.73,397.68,309.24,0,176.655,-2.828,-178.886,-9.90,14.44,140.62,-8.01,-18.69,160.78,55.241,56.381,-20.6047,0.1504,126.73,397.68,-20.1149,0.1213,126.88,381.06,0.25318,0
0.1762,1,14,3,2,251.25,680.75,dwell,165.99,401.08,292.38,0,176.894,-3.088,-178.872,-9.81,14.32,140.81,-8.12,-18.97,160.74,54.997,56.484,-20.6047,1.8325,165.99,401.08,-20.3285,0.8719,143.68,391.03,0.26579,0
0.2854,1,14,3,2,251.25,680.75,dwell,106.91,404.95,311.29,0,176.721,-3.103,-178.865,-10.06,14.27,140.53,-8.01,-18.84,160.70,55.866,57.157,-20.7306,-0.7221,106.91,404.95,-20.5040,0.1864,128.87,397.57,0.27725,0
0.3767,1,14,3,2,251.25,680.75,dwell,103.03,373.66,340.99,0,176.779,-3.051,-178.804,-9.48,14.50,140.49,-7.53,-18.55,160.78,55.728,57.291,-19.8913,-0.7213,103.03,373.66,-20.2394,-0.2086,114.52,385.54,0.27517,0
0.4757,1,14,3,2,251.25,680.75,dwell,104.46,319.96,389.51,0,176.913,-2.848,-178.804,-9.54,15.03,141.33,-7.77,-17.85,161.91,54.999,56.454,-18.5064,-0.8139,104.46,319.96,-19.4823,-0.4722,110.46,352.10,0.26990,0
0.5803,1,14,3,2,251.25,680.75,dwell,145.61,428.51,273.47,0,177.010,-2.435,-178.791,-10.46,16.43,143.33,-8.68,-16.15,164.38,54.677,55.845,-22.3112,0.9241,145.61,428.51,-20.7361,0.1386,129.78,374.12,0.26028,0
0.6844,1,14,3,2,251.25,680.75,dwell,118.20,434.23,280.14,0,177.473,-2.068,-178.909,-11.31,17.06,144.22,-10.20,-15.44,165.44,53.856,55.355,-22.7868,-0.6111,118.20,434.23,-21.6506,-0.1858,130.13,395.25,0.25741,0
0.7989,1,14,3,2,251.25,680.75,dwell,160.72,495.06,206.59,0,177.472,-1.882,-179.039,-13.28,16.84,144.43,-11.90,-15.71,165.55,53.967,55.573,-24.4095,0.5176,160.72,495.06,-22.9008,0.1192,153.30,440.55,0.26764,0
0.9141,1,14,3,2,251.25,680.75,dwell,204.05,670.66,48.26,1,178.072,-1.660,-178.967,-13.22,15.94,145.40,-12.17,-16.55,166.65,53.849,55.216,-28.6759,2.5144,204.05,670.66,-25.9944,1.3456,178.10,565.36,0.24786,0
1.0133,1,14,3,2,251.25,680.75,capture,246.87,611.96,68.93,1,178.294,-1.318,-178.955,-13.57,15.54,144.94,-12.48,-16.70,166.57,53.921,55.134,-26.9833,4.0461,246.87,611.96,-26.4432,2.5527,210.64,588.47,0.24754,0
1.1140,1,14,3,2,251.25,680.75,capture,255.97,706.56,26.23,1,178.599,-1.237,-178.892,-13.46,15.78,145.51,-12.46,-16.62,166.90,54.098,55.343,-29.4872,4.5497,255.97,706.56,-27.8469,3.4561,229.87,640.26,0.25015,0
1.2135,1,14,3,2,251.25,680.75,capture,249.34,644.30,36.50,1,178.875,-1.427,-178.927,-13.07,15.86,144.46,-12.27,-16.80,165.45,54.653,55.403,-27.8925,4.3014,249.34,644.30,-27.8672,3.8315,237.72,642.36,0.24823,0
1.3234,1,14,3,2,251.25,680.75,capture,263.84,581.85,99.70,0,179.101,-1.377,-178.907,-13.13,16.87,144.74,-12.31,-15.60,166.02,53.701,54.942,-26.6056,4.8539,263.84,581.85,-27.3138,4.2896,249.36,607.91,0.24109,0
1.4167,1,14,3,2,251.25,680.75,capture,255.45,608.35,72.52,1,179.078,-1.416,-178.962,-13.40,17.40,145.84,-12.50,-15.16,167.00,54.171,54.963,-27.5148,4.4587,255.45,608.35,-27.4006,4.3636,253.20,603.73,0.25127,0
1.5092,1,14,3,2,251.25,680.75,capture,253.26,625.10,55.68,1,178.918,-1.146,-178.929,-12.99,16.90,144.99,-11.81,-15.31,166.64,53.826,54.898,-27.7946,4.5252,253.26,625.10,-27.5720,4.4343,251.18,616.28,0.24814,0
1.6079,1,14,3,2,251.25,680.75,capture,270.49,567.12,115.24,0,178.776,-1.130,-178.926,-13.03,17.39,145.88,-11.85,-15.01,167.25,53.585,54.449,-26.4377,5.2176,270.49,567.12,-27.0864,4.7740,259.04,591.01,0.24294,0
1.7094,1,14,3,2,251.25,680.75,capture,241.18,545.75,135.38,0,178.686,-1.105,-178.857,-12.92,17.62,145.73,-11.62,-14.76,167.13,53.238,54.158,-26.0181,4.1020,241.18,545.75,-26.6170,4.4820,249.89,569.32,0.24047,0
1.8191,1,14,3,2,251.25,680.75,capture,247.48,551.51,129.29,0,178.634,-0.978,-178.763,-12.49,17.20,145.66,-11.12,-15.05,167.25,53.940,54.934,-26.0181,4.5672,247.48,551.51,-26.3551,4.5188,245.97,564.23,0.24693,0
1.9093,1,14,3,2,251.25,680.75,capture,259.61,567.15,113.90,0,178.569,-0.948,-178.716,-12.22,17.42,145.43,-10.85,-14.90,166.92,54.014,54.663,-26.4657,5.2071,259.61,567.15,-26.4031,4.8177,250.12,563.88,0.25068,0
2.0080,1,14,3,2,251.25,680.75,capture,273.27,530.72,151.64,0,178.443,-0.942,-178.631,-12.75,17.47,145.27,-11.19,-14.85,166.73,53.980,54.812,-25.4866,5.6058,273.27,530.72,-26.0070,5.1580,261.75,549.29,0.24456,0
2.1081,1,14,3,2,251.25,680.75,capture,271.46,552.20,130.13,0,178.566,-0.959,-178.631,-12.39,17.81,145.43,-11.16,-14.54,166.87,54.062,54.673,-26.1720,5.6862,271.46,552.20,-26.0788,5.3895,264.26,547.93,0.24549,0
2.2099,1,14,3,2,251.25,680.75,capture,269.77,563.58,118.63,0,178.490,-0.755,-178.686,-12.85,17.44,145.43,-11.54,-14.67,167.22,53.993,55.435,-26.3818,5.4274,269.77,563.58,-26.2104,5.4061,269.40,556.99,0.24294,0
2.3177,1,14,3,2,251.25,680.75,capture,252.39,559.10,121.65,0,178.371,-0.832,-178.703,-12.87,17.47,144.76,-11.44,-14.88,166.19,54.505,55.640,-26.2979,4.6931,252.39,559.10,-26.2476,5.1026,262.48,558.13,0.25133,0
2.4089,1,14,3,2,251.25,680.75,capture,240.57,546.90,134.28,0,178.260,-0.833,-178.688,-12.94,17.34,145.79,-11.43,-14.96,167.31,53.755,54.898,-25.9761,4.2175,240.57,546.90,-26.1298,4.7156,252.57,553.80,0.24433,0
2.5066,1,14,3,2,251.25,680.75,capture,211.61,533.80,152.21,0,178.330,-0.885,-178.773,-12.66,17.34,145.56,-11.47,-15.02,167.00,53.832,54.861,-25.6824,3.0372,211.61,533.80,-25.9369,3.9787,234.09,545.09,0.25551,0
2.6028,1,14,3,2,251.25,680.75,capture,209.38,524.44,161.82,0,178.388,-0.910,-178.785,-12.94,17.28,145.66,-11.69,-15.07,167.11,53.222,54.290,-25.4166,2.8221,209.38,524.44,-25.7108,3.4671,224.60,536.58,0.24613,0
2.7036,1,14,3,2,251.25,680.75,capture,220.61,535.80,148.16,0,178.551,-1.039,-178.829,-12.61,17.58,146.06,-11.56,-14.89,167.33,53.566,54.618,-25.7943,3.3886,220.61,535.80,-25.7473,3.4324,221.72,534.10,0.24572,0
2.8101,1,14,3,2,251.25,680.75,capture,239.31,625.05,56.97,1,178.623,-0.851,-178.769,-12.58,17.27,145.10,-11.35,-14.88,166.84,54.281,54.793,-27.9765,4.2594,239.31,625.05,-26.7122,3.7835,228.87,575.32,0.24861,0
2.9014,1,14,3,2,251.25,680.75,capture,218.37,653.25,42.86,1,178.620,-0.806,-178.788,-12.81,17.67,145.78,-11.61,-14.59,167.37,53.795,54.455,-28.8997,3.3747,218.37,653.25,-27.6869,3.6068,225.18,606.64,0.25914,0
3.0005,1,14,3,2,251.25,680.75,capture,225.14,629.68,57.36,1,178.690,-0.859,-178.809,-12.84,17.81,145.91,-11.74,-14.54,167.36,53.522,54.573,-28.3262,3.6020,225.14,629.68,-27.9695,3.6047,225.54,615.86,0.25443,0
3.1001,2,8,2,0,50.25,486.25,dwell,221.01,621.11,217.59,0,178.703,-0.826,-178.806,-12.84,17.48,145.76,-11.68,-14.79,167.33,53.953,54.713,-28.0044,3.4114,221.01,621.11,-27.9848,3.5212,223.71,620.56,0.25075,0
3.2018,2,8,2,0,50.25,486.25,dwell,254.01,647.71,259.97,0,178.991,-0.814,-178.838,-12.35,17.63,146.26,-11.56,-14.66,167.81,54.007,54.770,-28.6759,4.9169,254.01,647.71,-28.2890,4.1318,235.01,630.97,0.25694,0
