t_s,trial,cell_idx,row,col,target_x,target_y,phase,pred_x,pred_y,err_pt,in_cell,head_yaw_deg,head_pitch_deg,head_roll_deg,head_tx_mm,head_ty_mm,head_tz_mm,eye_cam_x_mm,eye_cam_y_mm,eye_cam_z_mm,pupil_left_px,pupil_right_px,raw_pitch_deg,raw_yaw_deg,raw_pred_x,raw_pred_y,filt_pitch_deg,filt_yaw_deg,filt_pred_x,filt_pred_y,ear,blink_held
0.0252,1,6,1,2,251.25,291.75,dwell,309.14,245.64,74.01,0,179.716,5.566,179.057,-18.35,21.82,145.92,-18.81,-8.14,170.62,55.540,54.949,-19.8493,0.7676,309.14,245.64,-20.0322,0.0989,,,0.24284,0
0.1262,1,6,1,2,251.25,291.75,dwell,303.07,246.02,69.11,0,179.570,5.555,179.032,-18.51,21.53,145.45,-18.76,-8.20,170.43,55.233,55.466,-19.7654,0.4161,303.07,246.02,-19.9154,0.2393,,,0.24312,0
0.2359,1,6,1,2,251.25,291.75,dwell,279.80,200.78,95.34,1,179.403,5.523,179.076,-18.44,21.50,145.24,-18.52,-8.27,170.18,55.798,56.058,-18.0028,-0.5630,279.80,200.78,-19.0700,-0.1075,,,0.25096,0
0.3296,1,6,1,2,251.25,291.75,dwell,273.33,235.14,60.77,1,179.545,5.475,179.032,-18.17,21.68,145.56,-18.65,-8.11,170.47,55.671,55.714,-19.4157,-0.8157,273.33,235.14,-19.2226,-0.4176,,,0.24969,0
0.4264,1,6,1,2,251.25,291.75,dwell,254.76,238.84,53.02,1,179.472,5.508,179.007,-18.66,21.56,145.05,-18.94,-8.15,170.06,55.556,55.807,-19.5276,-1.8622,254.76,238.84,-19.3524,-1.0412,,,0.24138,0
0.5250,1,6,1,2,251.25,291.75,dwell,266.66,247.27,47.08,1,179.509,5.569,179.063,-18.49,21.75,144.92,-18.76,-7.91,169.98,55.053,55.414,-19.9192,-1.2441,266.66,247.27,-19.5966,-1.1295,,,0.23032,0
0.6241,1,6,1,2,251.25,291.75,dwell,280.00,233.92,64.58,1,179.467,5.503,179.117,-18.21,21.83,145.36,-18.38,-7.97,170.26,55.481,55.764,-19.4157,-0.4791,280.00,233.92,-19.5186,-0.8488,,,0.24673,0
0.7337,1,6,1,2,251.25,291.75,dwell,296.34,240.40,68.34,1,179.078,5.483,179.136,-17.99,21.89,144.91,-17.77,-7.89,169.84,55.515,55.772,-19.6674,0.3602,296.34,240.40,-19.5829,-0.3213,,,0.24644,0
0.8253,1,6,1,2,251.25,291.75,dwell,270.22,245.53,49.96,1,178.951,5.392,179.148,-17.89,21.73,144.68,-17.82,-8.15,169.49,55.901,55.982,-19.8213,-0.8008,270.22,245.53,-19.6848,-0.5260,,,0.24759,0
0.9223,1,6,1,2,251.25,291.75,dwell,259.05,263.52,29.29,1,178.874,5.172,179.094,-18.22,21.90,144.70,-18.26,-8.18,169.26,55.390,55.214,-20.5487,-1.4626,259.05,263.52,-20.0606,-0.9323,,,0.24139,0
1.0226,1,6,1,2,251.25,291.75,capture,275.12,250.17,47.95,1,178.743,5.173,179.090,-18.58,21.56,144.49,-18.48,-8.33,169.28,55.517,55.985,-19.9052,-0.8410,275.12,250.17,-19.9932,-0.8927,,,0.24257,0
1.1229,1,6,1,2,251.25,291.75,capture,272.73,273.10,28.45,1,178.439,5.001,179.072,-18.52,21.68,143.54,-18.20,-8.43,168.05,55.537,55.686,-20.8005,-0.9713,272.73,273.10,-20.3455,-0.9267,,,0.24778,0
1.2316,1,6,1,2,251.25,291.75,capture,278.25,236.33,61.65,1,178.404,5.170,179.167,-17.65,21.11,144.76,-17.35,-8.64,169.72,55.729,55.958,-19.2198,-0.3007,278.25,236.33,-19.8583,-0.6558,,,0.24138,0
1.3227,1,6,1,2,251.25,291.75,capture,268.76,264.78,32.16,1,178.503,5.291,179.203,-17.31,20.87,143.96,-17.19,-8.86,168.93,56.344,56.600,-20.2550,-0.6583,268.76,264.78,-20.0281,-0.6569,,,0.24415,0
1.4236,1,6,1,2,251.25,291.75,capture,266.07,237.39,56.35,1,178.366,5.402,179.287,-17.58,20.73,143.57,-17.13,-8.97,168.58,56.172,56.516,-19.1639,-0.8166,266.07,237.39,-19.6532,-0.7256,,,0.24686,0
1.5211,1,6,1,2,251.25,291.75,capture,282.54,239.88,60.58,1,178.337,5.499,179.300,-17.55,20.65,144.05,-17.24,-9.02,169.11,55.826,56.138,-19.2338,-0.0297,282.54,239.88,-19.4723,-0.4260,,,0.24783,0
1.6208,1,6,1,2,251.25,291.75,capture,261.76,288.24,11.08,1,178.520,5.523,179.311,-17.54,20.85,144.05,-17.45,-8.86,169.05,56.241,56.378,-21.1782,-1.0072,261.76,288.24,-20.2220,-0.6787,,,0.24716,0
1.7308,1,6,1,2,251.25,291.75,capture,273.48,251.34,46.12,1,178.553,5.527,179.298,-17.58,20.67,144.02,-17.43,-9.07,169.00,55.836,56.117,-19.6954,-0.4782,273.48,251.34,-19.9939,-0.5919,,,0.24882,0
1.8279,1,6,1,2,251.25,291.75,capture,283.27,243.86,57.61,1,178.557,5.501,179.295,-17.45,20.64,144.26,-17.27,-9.13,169.19,55.822,55.980,-19.3877,0.0271,283.27,243.86,-19.7295,-0.3214,,,0.24414,0
